Month,Indian_Party,JVorWOS_name,JV_or_WOS,Overseas_Country,Activity,Equity,Loan,Guarantee _Issued,Total
April,3 GEN CONSULTING SERVICES LLP,LIGHTHOUSE HEALTHCARE ADVISORS LLC,WOS,UNITED STATES OF AMERICA,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0.4437,0,0,0.4437
April,4POINT9 CAPITAL ADVISORS LLP,ASHOKA91 INTERNATIONAL LLP,WOS,IFSC GIFT CITY,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0001,0,0,0.0001
April,A SIDDTH KUMAR  CHHAJER,AERP CONFERENCES - FZCO,WOS,UNITED ARAB EMIRATES,MANUFACTURING,0.0136,0,0,0.0136
April,AARANI D,"SAASGENIE, INC.",JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,0,0
April,AARVI ENCON LTD,AARVI ENCON STAFFING SERVICES,JV,QATAR,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.0548,0,0.0548
April,ABHINAV GARG,TESSA STONES INC,WOS,UNITED STATES OF AMERICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.03,0,0,0.03
April,ABHRANEEL SARKAR,INNOVERV GLOBAL SOLUTIONS LTD,JV,UNITED KINGDOM,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0189,0,0,0.0189
April,ABHYUDAY JINDAL,ABACUS FAMILY INVESTMENTS PTE. LTD,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.4,0,0,0.4
April,ACG ASSOCIATED CAPSULES PRIVATE LIMITED,ACG EUROPE D.O.O.,WOS,CROATIA,MANUFACTURING,0,0,7,7
April,ACL MOBILE PRIVATE LIMITED,SINCH DMCC,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.9293,0,0,0.9293
April,ACME CLEANTECH SOLUTIONS PVT LTD,ACME CLEANTECH VENTURES (UK) PRIVATE LIMITED,JV,UNITED KINGDOM,MANUFACTURING,0,3.5,0,3.5
April,ACTIVE PHOTO SERVICES PRIVATE LIMITED,FLYBOY FILMS,WOS,BELGIUM,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.45,0,0.45
